abduct|לחטוף
abduction|חטיפה
abide|להיות נאמן ל;להתמיד;להתגורר
abolish|לבטל
above|למעלה;מעל משהו;יותר ממשהו
abrupt|פתאומי
absence|היעדר;חוסר
absent|נעדר
absolute|מוחלט
absolutely|לחלוטין
abundant|שופע;מלא;גדוש
abuse|להתעלל;לפגוע;להשתמש לרעה;לשבש
accept|לקבל
access|לגשת;לזכות בגישה;כניסה;גישה
accident|תאונה
acclaim|להריע;לשבח;שבח;תשואות
accommodation|מגורים;דיור
accomplice|שותף לעבירה
accomplish|להשלים;לבצע
accomplished|מושלם;גמור
accordance|התאמה;תיאום
according to|לפי
accordingly|בהתאם
account for|להסביר;לשאת באחריות
accumulate|לצבור;לאגור
accurate|מדויק
accurately|במדויק
accusation|האשמה
achieve|להשיג
acid|חומצה
acquisition|רכישה
act|לשחק;לפעול;לעשות;מעשה
active|פעיל
addition|תוספת
additional|נוסף
adequate|הולם;מספיק
admirable|נערץ
admiration|הערצה
admire|להעריץ;להתפעל
admit|להודות;לאשפז
admittance|אישור;רשות;הודאה;כניסה למקום
admonish|להתריע;להזהיר;לנזוף
adore|להעריץ;להעריך;לחבב
adorn|לקשט;לעטר
adult|מבוגר
advance|לקדם;להתקדם
advantage|יתרון;תועלת
advise|לייעץ;להמליץ;להודיע
advocate|לסנגר;לתמוך;סנגור;חסיד
affiliation|הצטרפות;הסתפחות
affirm|לאשר;לאשש;להסכים;להביע תמיכה
affluence|שפע;עושר
affluent|שופע;עשיר
against|כנגד;נגד;אל מול
age|גיל;תקופה;עידן
agency|סוכנות;משרד
aging|התבגרות;הזדקנות
aid|לעזור;עזרה;תמיכה
aim|לכוון;להצביע;לשאוף;להתכוון;מטרה;יעד
alert|להזהיר;להודיע;אזהרה;התראה;דרוך;מוכן
allow|לאפשר;להרשות
allowance|קצבה;דמי כיס
allure|לפתות;למשוך;כוח פיתוי
allusion|אזכור;אלוזיה;הרמז
alone|לבד;בודד
also|גם
alter|לשנות;לתקן
alteration|שינוי
although|למרות
always|תמיד
amaze|להדהים
amazing|מדהים
ambiguous|דו;משמעי;מעורפל;שנוי במחלוקת
ambition|שאיפה;אמביציה
among|בקרב
analyze|לבצע הערכה;לנתח
ancient|עתיק
angle|להטות;זווית;פן
animate|להנפיש;ערני;חי
animation|אנימציה;הנפשה
announce|להודיע;להכריז
announcement|הכרזה
annoy|להציק;להטריד
annual|שנתי
another|אחר;נוסף
answer|לפתור;להשיב;תשובה;מענה;פתרון
anticipate|לצפות
antique|עתיק;ענתיקה
antiquity|ימי קדם
anxiety|חרדה
anxious|חרד;להוט
apparent|גלוי;נראה
appeal|לערער;פנייה;ערעור;משיכה
appealed to|משך;פנה אל
appear|להיראות;להופיע
application|בקשה;פנייה;אפליקציה;יישום
apply for|להגיש בקשה
appreciate|להביע הערכה;לחוש הערכה
approach|להתקרב;לגשת;גישה;התייחסות
appropriate|מתאים
approve|להסכים;לאשר
approximately|בקירוב
area|אזור
arrangement|סידור;הסכם
arrive|להגיע
artificial|מלאכותי
ascend|להתרומם;לנסוק;לעלות
aspect|אופי;הבט;פן;מראה;הבעת פנים
aspiration|שאיפה
assemble|לכנס;לאסוף;להרכיב
assembly|אסופה;התקהלות
assert|לטעון
asset|נכס;קניין
assign|להקצות
assignment|משימה
assure|להבטיח
astound|להדהים
atmosphere|אווירה;אטמוספירה
attach|לחבר
attack|לתקוף;תקיפה
attain|להשיג;לקבל
attend|להשתתף;להיות נוכח;לטפל
attendant|מלווה;משרת;סדרן
attire|לבוש
attitude|גישה;עמדה;יציבה;מצב רוח
attract|למשוך
attraction|משיכה
attractive|מושך
attribute|לייחס;תכונה
augment|להגדיל;להרחיב
authentically|באמת
authenticate|לאשר;לאמת;להוכיח
author|סופר;כותב
authority|רשות;סמכות
authorize|לאשר;להסמיך
availability|זמינות
avert|למנוע;להסיט
avoid|להימנע;לחמוק
aware|להיות מודע
back|גב;אחורי;אחורנית;בחזרה
backward|לאחור
balance|לאזן;איזון
ban|לאסור;להחרים;חרם;נידוי;איסור
banish|לגרש;להגלות
bare|לחשוף;לגלות;חשוף
barely|בקושי
barrier|מחסום;מגבלה
barter|להתמקח;סחר חליפין
base|לבסס;בסיס
beat|להביס;לגבור;להכות;פעימה;מקצב;נקישה
because|כי;מכיוון ש
become|להפוך ל
before|קודם;לפני
begin|להתחיל
beginning|התחלה;ראשית
behave|להתנהג
behavior|התנהגות;התנהלות
belief|אמונה
believe|להאמין
bend|לכופף;לעקם;עיקול;סיבוב;לקשת;להתכופף
bend over|להתכופף
beneath|מתחת ל
benefactor|תורם;נדבן
benefit|רווח;תועלת;נשף צדקה
bent|מושחת;עקום;נחוש;החלטי
bequeath|להוריש;להנחיל
besides|כמו כן;חוץ מזה
best|הכי טוב;משובח
between|בין;במשותף
bewilder|לבלבל
bewilderment|בלבול
blame|להאשים;אשמה
blaze|להתלקח;להבה
bleed|לדמם
blind|לעוור;עיוור
blindly|באופן עיוור
blood|דם
blouse|חולצה
blow|לנפח;לנשוב;מהלומה;מכה
blunt|קהה;בוטה
bond|להיקשר;קשר;איגוד;אגרת חוב
bone|עצם
border|גבול;תחום;קצה
bore|לשעמם;לקדוח
boring|משעמם;קדוח
borrow|ללוות;לשאול;להעתיק
boundary|גבול;תחום
brake|לבלום;מעצור;בלם
branch|להסתעף;תחום;ענף;סניף;ענף של עץ
brave|אמיץ
break|לשבור
breakdown|התמוטטות
brief|לתדרך;לדווח;קצר;מתומצת;תדריך;תקציר
bright|בהיר;זוהר;מבריק;פיקח;נהיר;ברור
broad|רחב
broadly|בדרך כלל;באופן נרחב
budget|תקציב
bulky|מגושם;גדול;נפוח
burden|להעמיס;להכביד;נטל;משא
bury|לקבור
buy|לקנות;לרכוש
calculate|לחשב
calmly|ברוגע;בנחת
campaign|מסע פרסום;קמפיין
cancel|לבטל;למחוק
candid|כן;גלוי לב;ישר
candidate|מועמד
capability|יכולת;כושר;מיומנות
capable|מסוגל;כשיר
capacity|קיבולת;יכולת
capital|הון;עיר בירה
capitalize|להרוויח הון
carefully|בזהירות
cargo|מטען;משא
case|לארוז;תיבה;תיק;משפט;מקרה
casual|שגרתי;רגיל
casualty|פגיעה;אובדן בנפש
cause|גורם;לגרום
cave|לחפור;מערה
cease|לעצור;להפסיק;להסתיים
cease fire|הפסקת אש
celebrate|לחגוג;להלל;לשבח
celebration|חגיגה
century|מאה
ceremony|טקס
certain|מסוים;ודאי;בטוח
certainty|ביטחון;ודאות
certificate|תעודה;אישור
certify|לאשר;להסמיך
challenge|לאתגר;אתגר
change|לשנות;להמיר;להחליף;שינוי;עודף
chant|לשיר;מזמור;שיר
chapter|פרק;תקופה;סניף
character|אישיות;דמות;טיפוס;אות;תו
characteristic|מאפיין
characterize|לאפיין
charge|לטעון;פלאפון;לחייב;להאשים;להעמיד לדין;להסתער
cheer|לעודד;עידוד;שמחה
chronic|עקבי;מתמשך;כרוני
chronicle|קורות;היסטוריה
chronology|רצף האירועים;כרונולוגיה
circuit|להקיף;מעגל;מעגל חשמלי
circular|מעגלי;מחזורי
citizen|אזרח;תושב
claim|לטעון;טענה
clarify|להבהיר;להסביר;לסנן
classification|סיווג;מיון
classify|לסווג;למיין
clean|לנקות;נקי
clever|חכם;פיקח
cleverly|בחכמה
climate|אקלים
close|לסגור;קרוב
coarse|גס;חסר עידון;בוטה
coast|חוף
coax|לפתות;לשדל
coerce|לאלץ;להכריח
coexist|להתקיים יחד
collect|לאסוף
collective|קבוצה;אוסף;אסופה
collectively|במשותף;ביחד
collide|להתנגש
collision|התנגשות
column|עמוד;טור
comfort|לנחם;נוחיות
comfortable|נוח
comfortably|בנחת;בנוחות
commerce|מסחר
commercial|מסחרי;פרסומת
commission|עמלה;הנחייה;הוראה;מינוי;סמכות;ועדה
commissioner|נציב;ממונה;מפקח
common|נפוץ;משותף
communal|שיתופי;קהילתי
commune|לשוחח;קומונה
communication|תקשורת
companion|בן לוויה;חבר
compatible|מתאים
compensate|לפצות
compensation|פיצוי
compete|להתחרות
competent|בעל יכולת;כשיר
competition|תחרות
complain|להתלונן
complete|להשלים;שלם
completely|לחלוטין
complex|מורכב;תסביך
complicate|לסבך
complicated|מסובך
complication|סיבוך
compliment|להחמיא;מחמאה
component|רכיב
compose|לחבר;להרכיב;להלחין
composition|יצירה;קומפוזיציה;הרכב
comprehend|להבין;לתפוס
compromise|להתפשר;פשרה;סיכון
concern|דאגה;עניין
concur|להתאים;לשתף פעולה;להסכים עם אחר
condensation|דחיסה;עיבוי
condense|לדחוס;לרכז;לעבות
condition|תנאי;מצב
conditional|מותנה;בהנחה מסוימת
condone|למחול
confer|להתייעץ;להעניק במתנה
conference|ועידה
confiscate|להחרים
conformity|שמרנות;צייתנות
confront|לעמוד בפני;להתעמת
confusing|מבלבל
confusion|מהומה;בלבול
conscious|בהכרה;מודע
consciousness|מודעות;הכרה
consistency|סמיכות;דחיסות;עקביות;הרכב;שילוב
consistent|עקבי
consists of|מורכב מ
constitute|להרכיב;להוות
construct|לבנות;להקים;מבנה
construction|מבנה
consume|לצרוך;לעכל
consumer|צרכן
contact|ליצור קשר;מגע
contain|להכיל
container|מיכל
contaminate|לזהם
contemporary|עכשווי;בן זמננו
contend|להתחרות;להתמודד;לטעון
content|לספק;שבע רצון;מסופק;שביעות רצון;תוכן
contest|להתחרות;תחרות
continent|יבשת
continuity|המשכיות
continuous|המשכי;מחזורי
contract|להתכווץ;לצמצם;הסכם;חוזה
contradict|לסתור
contradictory|סותר
contrary|הפך;בניגוד ל
contribute|לתרום ל
controversial|שנוי במחלוקת
controversy|מחלוקת
convene|לכנס
convenience|נוחות
convenient|נוח
conveniently|באופן נוח
convention|כנס;הסכם;חוזה;מנהג מקובל;קונבנציה
conventional|מקובל;קונבנציונלי
convert|להמיר
convey|למסור;להעביר
core|ליבה;מרכז
correct|לתקן;מדויק;נכון
correspond|להתכתב;להתאים
correspondence|התכתבות;התאמה;הסכמה
cost|עלות;מחיר
costly|יקר
counteract|לבטל;לנטרל;תגובה נגדית
counterpart|עמית;מקביל
courage|אומץ;תעוזה
courageous|אמיץ
courteous|אדיב
courtesy|מחווה
create|לייצר;ליצור
creative|יצירתי
creature|יצור;יציר
crime|פשע;עברה
criminal|פושע;עבריין
crisis|משבר
critic|מבקר
critical|גורלי;קריטי;ביקורתי
cross|צלב;הצטלבות;לחצות;לסמן ב
cruel|אכזרי
cultivate|לעבד
cultivation|עיבוד;טיפוח
cultural|תרבותי
culture|תרבות
cure|לרפא;רפואה
currency|מטבע;מחזור;נהג
current|זרם;מהלך;נוכחי;שגור;נהוג
currently|כרגע
curse|לקלל;קללה
custom|מכס;מנהג
damage|להזיק;נזק;אובדן;הפסד
damp|לח;מעופש;לא נעים
danger|סכנה
dangerous|מסוכן
data|מידע
deal|להתמודד;עסקה
debate|להתדיין;להתלבט;דיון
debt|חוב
decay|להירקב;ריקבון;התנוונות
deceased|נפטר;בר מינן
deceive|לרמות;להונות
decent|מכובד;הגון
decide|להחליט
decision|החלטה
decisive|החלטי
declaration|הצהרה
declare|להצהיר
decline|להדרדר;ירידה;לסרב;לדחות
decrease|להפחית;לצמצם;הפחתה
deem|לסבור;להעריך
deep|עמוק
defeat|להביס;תבוסה;הפסד
defend|להגן
defense|הגנה
defer|לעכב;לדחות;להסכים;להיענות
deficiency|מחסור;פגם
deficit|גירעון
defied|שהופר
define|להגדיר
definition|הגדרה
defy|להפר;להתריס;להתחמק
delay|לדחות;לעכב;דחיה;עיכוב
delegate|להסמיך;ציר;נציג;בא כוח
delegation|משלחת
delete|למחוק
deliberation|דיון;שקילה;תשומת לב
delight|תענוג;הנאה;אושר
deliver|לשלוח;להעביר;לשחרר;ליילד;לשאת דברים
delivery|משלוח;לידה
demand|לדרוש;דרישה
demonstrate|להדגים;להפגין
denounce|להוקיע;לגנות;להאשים
depend|תלוי
dependence|תלות
depict|לתאר
deplete|לרוקן;להתרוקן;לכלות
deprivation|קיפוח;מחסור
deprive|לקפח;למנוע;לשלול
depth|עומק
derive (from)|לנבוע מ
descend|לרדת;להנמיך
descendant|צאצא
describe|לתאר
description|תיאור
desert|לזנוח;לנטוש;מדבר
design|לעצב;עיצוב
despite|למרות
destination|יעד
destined for|מיועד ל
destroy|להרוס
destruction|הרס
detach|להפריד;לנתק;להקצות
detain|לעצור;לעכב;לכלוא
deter|להרתיע
deteriorate|להדרדר
determination|החלטיות;נחישות;הגדרה
determine|לקבוע;להחליט
determined|נחוש;החלטי;שנקבע מראש
devastate|להרוס;להשחית
develop|לפתח
developed|מפותח מתועש
development|פיתוח;התפתחות
devise|לתכנן;להגות
devote|להקדיש
devoted|מסור;נאמן
dexterity|מיומנות
diagram|דיאגרמה;תרשים
die|למות;להיהרג
die out|לדעוך
differ|נבדל;שונה;לחלוק על
difference|הבדל;שוני
different|שונה
difficult|קשה;מורכב
digest|לעכל;תמצית;מאגר;לקט
dim|לעמעם;עמום
diminish|להפחית
disadvantage|חסרון;נחיתות
disappear|להיעלם;להיכחד;להיאבד
disappoint|לאכזב
disaster|אסון
disastrous|הרסני
disciple|תלמיד;חסיד
discipline|משמעת;דיסציפלינה
discord|ריב;סכסוך
discourage|רפה את ידיו
discrimination|אפליה;סיווג
dismiss|לפטר;להדיח;לסלק;להסיר
displacement|העברה
display|להציג;תצוגה
dispose|להיפטר
disposition|מזג;אופי;נטייה;סידור;היערכות
dispute|להתווכח;וויכוח
dissent|להתנגד
dissenter|פורש;בדלן
distance|מרחק
distant|רחוק;מרוחק
distinct|ברור
distinction|הבחנה;הבדל;הוקרה;מצוינות
distinguish|להבחין;להבדיל
distort|לעוות;לסלף
distorted|מעוות;שהושחת
distract|להסיח
distraction|הסחה
distress|מצוקה
distressingly|באופן מרגיז
diversity|גיוון;נקודת מחלוקת
docile|צייתן;כנוע
document|לתעד;תעודה;מסמך
domestic|ביתי;מקומי
domesticated|מבויית;מאולף
dominate|לשלוט
donor|תורם
door|דלת
doorsteps|מפתן;סף
doubt|להטיל ספק;ספק
down|למטה;דכאון;מדוכא
downgrade|להוריד;ברמה
drastic|קיצוני;דרסטי
draw|לרשום;לצייר;למשוך;ציור;משיכה;תיקו
draw upon|להסתמך על
drift|להיסחף;לנוע;תנועה
drink|לשתות;משקה
drop|להפיל;להנמיך;טיפה;מעט;קצת
drop out|לנשור
dump|להשליך;לזרוק;חורבה;זבל
duplicate|לשכפל
durable|יציב;מתמשך
duration|משך
dusty|מאובק
dwell|להתגורר;לשכון
dwelling|בית מגורים;משכן
dying|גוסס
ease|להקל;להרגיע;נוחות;מנוחה
easily|בקלות
eat|לאכול
eccentric|מוזר;חריג
economic|כלכלי;פיננסי;חסכני
economize|לחסוך
economy|כלכלה
edible|אכיל
edit|לערוך
edition|מהדורה;גירסה
education|חינוך
educational|חינוכי
efficiency|יעילות
efficient|יעיל
effort|מאמץ
either... or...|או ש או ש
elect|לבחור;להצביע
election|בחירה;בחירות
element|יסוד;אלמנט;רכיב
eloquent|רהוט
elude|לברוח;להתחמק
elusive|חמקמק
embellish|לקשט;לעטר;לשפר
embrace|לחבק;לאמץ
