אבן נגף|מכשול
אוצר בלום|אוצר גנוז וחבוי
אזלת יד|חוסר אונים
אין בו מתום|מוכה ופצוע
איפה ואיפה|אפליה, משוא פנים
אנשי שלומו|ידידיו, מקורביו
בא בימים|זקן
בא כוחו|הנציג שלו, השליח שלו
בבת עינו|הדבר היקר לו ביותר
בד בבד|בו בזמן, יחד
בה בעת|באותו הזמן, באותה השעה
בזעיר אנפין|בצורה מוקטנת, מיניאטורית
בכי תמרורים|בכי גדול ומר
בלב ולב|בחוסר כנות, בצביעות
בלית ברירה|באין ברירה, כשאין אפשרות אחרת
בן עוולה|נבל, בן בליעל
בעל כורחו|נגד רצונו
בר סמכא|מומחה, אדם שאפשר לסמוך עליו
גורד שחקים|בניין רב קומות
דאבון לב|צער עמוק
דברי הבאי|דברי הבל, שטויות
דיבר סרה|דיבר בגנות, אמר דברים רעים
דיבר על לבו|שידל אותו בדברים
דש בעקביו|זלזל בדבר, לא שם ליבו אליו
היה בעוכריו|הכשיל אותו
היה כמרקחה|סער, היו בו התרגשות רבה
הילך אימים|הטיל פחד
הכביד את לבו|התעקש
הכביד מילים|אמר דברים רבים
הלך שבי אחריו|נפל בקסמיו, הסכים לכל דבריו
המרה את פיו|פעל כנגד הוראותיו
העלה ארוכה|הגליד, נרפא
העלה חרס בידו|לא הצליח במאמציו
הצר את צעדיו|הפריע לו, שם בפניו מכשולים
הרף עין|זמן קצר מאוד
התיישבה דעתו|התרצה, נרגע, חזר לעשתונותיו
חדל אישים|אדם עלוב שאינו מעורר כבוד
חזר לסורו|שב למעשיו הרעים
חזר על הפתחים|הלך מבית לבית לבקש נדבות
חייב בדין|מורשע
חיכה עד בוש|חיכה עד שהתאכזב
חסר תקדים|שלא קדם לו דבר דומה
חרי אף|כעס, קצף
טמן ראשו בחול|התעלם, סירב להכיר במציאות
יצא חוצץ|יצא כנגד, התייצב נגד
יצא מגדרו|נהג שלא כדרכו, השתדל מאוד
יצא מכליו|התרתח מאוד, התפרץ
יצא נפשו אל|התגעגע אל
יראת כבוד|יחס של כבוד והערצה
ירד לטמיון|הלך לאיבוד, הופסד
יש דברים בגו|יש טעם וסיבה לדברים
יתרה מזו|לא זו בלבד, לא רק זאת אלא
כבד לשון|מגמגם, מתקשה בהגיית מילים
כברת דרך|מרחק מסוים, חלק מן הדרך
כבש את יצרו|התגבר על תאוותו
כבש את כעסו|הסתיר את רוגזו, הבליג
כיתת את רגליו|הלך הרבה
כלאחר יד|דרך אגב, בלי כוונה מיוחדת
כן שיגור|מבנה שממנו משגרים טילים
כקליפת השום|משל לדבר נטול חשיבות
כתמול שלשום|כבכל הימים
לא בכדי|לא לשווא, לא לחינם
לא נקף אצבע|התבטל, לא עשה דבר
לבו נקפו|התחרט, הצטער על מעשה שעשה
ללא דופי|מושלם, ללא פגמים
ללא עוררין|בלי ערעור, ודאי לחלוטין
למראית עין|כלפי חוץ
לעילא ולעילא|באיכות מעולה, בדרגה הגבוהה ביותר
מבלי משים|בלי שהתכוון
מגינת לב|צער עמוק, עוגמת נפש
מגלה טפח|גילה משהו
מהיר חימה|נוטה להתפרץ בקלות
מהשפה לחוץ|למראית עין בלבד, בלא כוונת לב
מוג לב|פחדן
מוסר כליות|חרטה, ייסורי מצפון
מושל ברוחו|לא מתפרץ, מבליג
מט לנפול|רעוע, מתנודד
מילא פיו מים|שתק
מכות נמרצות|מכות חזקות
מלבין פנים|מבייש ומכלים
מן השפה ולחוץ|ללא כוונה אמיתית
מעורר יראה|מביא לידי פחד רב, חרדה
מפח נפש|אכזבה קשה, ייאוש
מצח נחושה|עיקשות וחוצפה
מקשה אחת|חטיבה אחת, גוש אחד
מרת רוח|רוגז, תרעומת, אי שביעות רצון
משאת נפש|אידיאל, דבר שהאדם שואף אליו
משיב נפש|מרענן, מחיה
משל ברוחו|שלט בעצמו
משלח יד|מקצוע, עיסוק, עבודה
נחה דעתו|נרגע, בא על סיפוקו
נחמה פורתא|נחמה כלשהי
נטול ערך|חסר חשיבות
נכמרו רחמיו|התעוררו בליבו רגשי רחמים
נקיון כפיים|יושר, המנעות משוחד
נקעה נפשו|מאס במשהו, בחל במשהו
נקפו לבו|חש ייסורי חרטה
נר לרגליו|עיקרון שלפיו אדם נוהג
עול ימים|צעיר, רך בשנים
עז מצח|חצוף, גס רוח
על מי מנוחות|בשלווה
על נקלה|בקלות, ללא קושי
על פניו|על השטח החיצוני, לכאורה
על קרן הצבי|דבר שיש בו סכנה להפסד כספי
עם הארץ|בור, חסר השכלה, הדיוט
עמד בעינו|לא השתנה
עמד בפרץ|הגן, מנע תקלה או אסון
עמד מנגד|לא התערב, נשאר מרחוק
עני מרוד|עני ביותר
עקב אכילס|כינוי לנקודת תורפה
עקוב מדם|קשה ואכזרי, שיש בו נפגעים רבים
ערש דווי|המיטה שהחולה שוכב עליה
עשבים שוטים|צמחי בר מזיקים; תופעות שליליות
עשה שמות|החריב, הרס
פורק עול|מזלזל בחובות, נוהג בהפקרות
פושט יד|עני המבקש נדבות
צוק העתים|זמן חירום, תקופה קשה
צרות עין|קנאה
קבל עם ועדה|לעיני הכל, בפרהסיה
קטן אמונה|מי שאינו נוטה להאמין, פסימיסט
קל וחומר|בוודאי ובוודאי, על אחת כמה וכמה
קל תפיסה|שיש לו תפיסה מהירה
קנה רצוץ|אדם חלש שאין לסמוך עליו
קפוץ יד|נמנע מלתת משלו, קמצן
קר רוח|בעל שליטה עצמית במצב של מתח
קרם עור וגידים|לבש צורה, התממש, התגשם
קשה לב|רשע, אכזר
קשה עורף|סרבן ועקשן
רודף בצע|להוט אחר כסף
רחב לב|נדיב לב, אדיב
ריפה את ידיו|החליש את התלהבותו
שאט נפש|יחס של בוז
שבק חיים|נפטר, מת
שוקק חיים|מלא אנשים ופעילות, תוסס
שלח יד בנפשו|התאבד, שם קץ לחייו
שלח ידו|עסק במלאכה או במקצוע
שם לאל|הפך מאמץ או תוכנית לחסרי ערך
שם פעמיו|יצא לדרך, הלך לעבר
שנס מתניים|התכונן במרץ
שעיר לעזאזל|מי שמשמש קורבן לחטאי אחרים
שת לבו אל|שם לב ל, נתן דעתו ל
תהה על קנקנו|בדק את טיבו, חקר את מהותו
תהום הנשייה|שכחה, אובדן דברים מהזיכרון
תוכו כברו|פנימיותו כחיצוניותו
תמימי דעים|מסכימים הסכמה מלאה
תעצומות נפש|כוחות נפשיים עזים
תקוות שווא|ציפייה ריקה שיקרה דבר טוב
תרתי משמע|שני מובנים לאותו הדבר
