אדן|בסיס, יסוד
אחרית|סוף
אלומה|אוסף קרניים, צרור שיבולים, עומר
אנקה|צעקה מתוך כאב או צער
אצטבה|מדף
את|כלי עבודה המשמש לחפירה
ביבר|גן חיות
בלימה|עצירה, מחסום
בער|חסר דעת, חסר השכלה, בור
ברא|כרת עצים לשם פינוי שטח
גדיד|קטיף תמרים
גזר|חלק, חתיכה
גזרה|תקנה או פקודה שיש בה איסור
גמלוני|גדול, ארוך ומסורבל
גת|בור שבו דורכים ענבים
דובב|גרם למישהו לדבר
דלה|שאב, הוציא מהמים
הבליג|התאפק, ריסן את עצמו, נמנע מלהגיב
החניף|שיבח מישהו בפניו כדי למצוא חן בעיניו
הלעיז|פרסם דברי לעז הפוגעים בשמו הטוב של מישהו
הסה|השתיק, הורה לשתוק
העפיל|טיפס למקום גבוה, עלה לדרגה גבוהה יותר
הצר|עשה שיהיה צר יותר; הצטער על משהו
השבית|הפסיק לזמן מה את הפעילות של משהו
התהולל|התנהג בצורה פרועה, חסרת רסן
התנצח|התווכח עם מישהו בתקיפות ובעקשנות
התרה|הזהיר
זג|קליפת הענב
זרה|פיזר, הפיץ
חמלה|רחמים
חרון|כעס, רוגז גדול
טבור|מרכז, אמצע
ישימון|ציה, שממה, מדבר
כורח|חוסר ברירה
כמוש|בלוי, נבול, מצומק
כפת|קשר היטב את הידיים או הרגליים
לבל|כדי שלא, פן, שמא
לפת|תפס ואחז בכוח
מבודר|מפוזר
מגרעת|חסרון, פגם, שקע
מהל|ערבב נוזל בנוזל אחר, בעיקר במים
מורא|יראה, פחד רב, אימה
מטבל|רוטב סמיך שטובלים בו ירקות
מיער|מכוסה יער
מסואב|מושחת, מאוס, מלוכלך, טמא
מפורז|מפורק מנשקו
מצנפת|כובע עשוי בד העוטף את הראש
משאב|מקור, עתודה
נאלח|מלוכלך, מזוהם, בזוי, מושחת
נגיש|שאפשר לגשת אליו
נואל|אווילי, טיפשי
נטר|שמר
נכלם|נבוך, מבויש
נסק|עלה, גדל, האמיר
נתין|אזרח
סהר|ירח, לבנה
סך|משח, מרח בשמן
ספח|צירף, חיבר, הוסיף דבר אחד לדבר אחר
עדי|תכשיט
עילאי|עליון, נעלה, נאצל
עלטה|חושך, אפלה
ערבה|ביטחון לכך שמשהו יתקיים או יבוצע כמובטח
עתיר|עשיר, רב
פך|כלי קטן לנוזלים
פסיקה|מתן פסק דין
פרקדן|שכוב על הגב
צדיה|כוונה רעה, זדון, מזימה
צחיח|יבש, חרב, מחוסר במים
צניפה|צהלת הסוס
קבס|גועל, הרגשת בחילה עד כדי להקיא
קלוש|דליל, חלש, רופף
קסת|דיותה, כלי קיבול לדיו
קרטע|התקדם בחוסר יציבות תוך קפיצות ונדנודים
רדד|הפך דבר מה לשטוח ודק
רז|סוד
רעלה|צעיף נשים לכיסוי הפנים
רשף|ניצוץ, גץ
שדוף|נבוב, חסר תוכן, ריק
שטנה|דברי איבה והאשמה
שררה|שלטון, ממשלה
תחינה|תפילת בקשה
תעה|שוטט בחיפוש הדרך, איבד את הדרך
תרעמת|תחושת רוגז או טינה, כעס, מורת רוח
אבה|רצה, הסכים
אדרבה|להיפך, למעשה ההפך הוא הנכון
אידוי|הפיכת נוזלים לגז
אלונטית|מגבת
אנקול|וו תלייה
אצטלה|גלימה
בוטה|חריף, נוקב
בפרהסיה|בגלוי, בפומבי
ברי|ברור, ודאי
גדיל|קווצה של חוטים בשולי בגד, ציצית
גחון|כפוף, שחוח
גמע|לגם, שתה מים או משקה אחר
דאבה|יגון, צער
דוברה|רפסודה, אסדה
דלוח|עכור, לא צלול
הבריח|סגר בבריח, נעל
החרמה|לקיחה בכוח של דבר מרשות האחר
הלעיט|נתן הרבה מאוד מזון ומשקה; מילא בשפע של פרטים
הנץ|הצמיח ניצנים, החל לפרוח
הסכין|התרגל, הסתגל
הערים|הטעה מישהו, הונה אותו בתחבולות
השחיז|ליטש ושייף כלי כדי להפכו לחד
התחבט|התלבט
התנשא|נע כלפי מעלה
התריס|הביע התרסה, מחאה, טען נגד מישהו
זגג|התקין זגוגית, ציפה בציפוי שקוף
זרזיף|זרם, שטף, גשם דק
חמס|שוד, גזל
טופר|קצות האצבעות של בעלי חיים
ידה|זרק בעיקר אבנים, השליך למרחק
כורם|האדם העובד בכרם ענבים
כמרקחה|רוגש, הומה
לבן|חימם מתכת עד להלבנתה; דן בסוגיה מכל צדדיה
למכביר|בשפע, הרבה מאוד
לרבות|כולל, וגם, להוסיף
מבוסם|מלא בושם
מדווה|כאב, מחלה
מהמורה|בור, שוחה
מורשה|מיופה כוח
מך|עני, דל, אביון, צנוע
מליצה|ביטוי פיוטי שלא נוהגים להשתמש בו ביומיום
מסוכה|גדר חיה
מקשה|שדה דלועים; עשוי מגוש אחד
משמים|משועמם, משעמם
נאצה|חירוף, גידוף
נגע|פגע, צרה
נוגה|עצוב, עגום
נחוש|חזק וקשה, כנחושת
ניב|ביטוי
נסורת|שבבי עץ קטנים ודקים הנופלים בזמן הניסור
נקף|היכה, הקיש, דפק; על זמן: עבר, חלף
נתץ|ניפץ, שבר, ריסק
סואן|רועש, הומה
סכך|כיסה בגופו על משהו
סקל|פינה מקום מאבנים, סילק אבנים מהשטח
עוון|חטא, עבירה
עילג|כבד פה, מגמגם
עלץ|שמח, התמלא בתחושה של חדווה
ענק|תכשיט לצוואר, רביד; גדול מאוד
ערה|רוקן משקה מכוס; חשף או גילה דבר מה
פכפך|נבע, פרץ בזרם עדין
פצה|פתח את פיו כדי לדבר
פשה|התפשט, התרחב
צדע|רקה, צד המצח ליד האוזן
צחנה|סירחון, ריח רע
צפון|טמון, נסתר, חבוי
קד|השתחווה קלות
קושש|ליקט, אסף
קלח|זרם, נבע, התפרץ, נעשה בשטף
קעור|בולט כלפי פנים, בצורת קערה
קרי|דהיינו, כלומר
רדה|שלט ביד חזקה
רף|מדף, אצטבה קטנה
שאון|קול רעש, המולה
שוחר|חובב, ידיד, מבקש בכל ליבו
שי|מתנה, דורון, תשורה
שמיש|ראוי או מוכן לשימוש, שניתן להשתמש בו
שעל|צעד, פסיעה
שירש|עקר צמח מן השורש, חיסל לחלוטין
תככים|מזימות, סכסוכים
תיעוב|מיאוס, גועל
אבוס|מתקן שמניחים בו מזון לבעלי חיים
אדרת|מעיל עליון רחב
אוושה|רעש קל מאוד
אליבי|טענת נאשם כי היה במקום אחר בעת ביצוע הפשע
גדיש|ערימת תבואה
אציל|בן מעמד האצולה, נכבד, חשוב
בוסס|הלך לאט ובצעדים כבדים
במזיד|מתוך כוונה רעה
בציר|קטיף ענבים
גחמה|קפריזה, עיקשות
גנז|העביר מסמך למשמרת בארכיון, הטמין, הסתיר
דווי|מלא ייסורים, כואב, סובל
דראון|חרפה, גנאי, תועבה
הגיר|יצק, מזג, שפך
החרפה|תהליך שבו מצב או מחלה נעשים גרועים יותר
הכביר|הרבה, הגדיל
הלצה|בדיחה, דבר ליצנות
הסכית|שתק והאזין בתשומת לב
העתיק|העביר, הזיז
הקיץ|התעורר משנתו; העיר אדם אחר
השיל|נשל, השיר מעליו כמו נחש את עורו
התאגד|הצטרף לאחרים ליצירת קבוצה או אגודה
התחלחל|התמלא חלחלה
התעמר|התעלל במישהו, התנהג כלפיו בגסות
התריע|הודיע מראש, הזהיר
זחוח|מתנהג ביהירות מתוך שביעות רצון מופרזת מעצמו
חבוט|מוכה, מעוך
חנני|מלא חן ונועם
חריט|ארנק, תיק קטן של נשים
טיוטה|נוסח ראשון של מכתב
יצהר|שמן זך וטרי
כיחד|הסתיר, העלים
כמד|נבל, קמל, התייבש
לדידו|מצידו, לגביו, לדעתו
להוט|מלא להט והתרגשות לעשות משהו
למפרע|לאחור, לשעבר; מראש
לש|גלגל ומעך בידיים גוש בצק כדי לרככו
מבחיל|מעורר בחילה וגועל
מדון|ריב
ממולא|נתפר עליו הטלאי
מלעיל|הטעמה על ההברה שלפני האחרונה
מסיק|קטיף זיתים
מפיח|מכוסה פיח
משב|זרימה, נשיבה
משעול|דרך, שביל
נאקה|נקבת הגמל
נגף|נחל תבוסה, הוכה או נפגע
נוגש|דוחק ומזרז בכוח, רודה
נחיל|מספר עצום של יצורים בתנועה
נידח|מרוחק ביותר, מבודד
נכסף|רצה משהו מאוד, השתוקק אליו
נענה|הסכים לבקשה, להזמנה
סבוניה|כלי או מתקן שמניחים בו סבון
סוגר|כלוב שכולאים בתוכו בעלי חיים
סכל|כסיל, שוטה
עווית|התכווצות בלתי רצונית של שרירי הגוף
עיר|חמור צעיר
